name, rating, reviews, cuisine, address, safety measures,
Dunkin',4.0,312, Coffee shop,400 Newark St. Hoboken NJ 07030,,
Green Garden,4.0,63, Chinese restaurant,1202 Washington St Hoboken NJ 07030,  Mask required,
Cork City Pub,4.6,344, Bar,239 Bloomfield St Hoboken NJ 07030,  Mask required,
Panello,4.2,189, Pizza restaurant,720 Monroe St C105 Hoboken NJ 07030,,
Fork You Grill,0,0, Fast food restaurant,98 Willow Ave Hoboken NJ 07030,,
The Cuban Restaurant and Bar,4.4,1134, Cuban restaurant,333 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
San Giuseppe,4.4,234, Italian restaurant,1320 Adams St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Shokudo,4.5,157, Japanese restaurant,61 14th St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Hudson Table Hoboken,4.6,28, Cooking class,1403 Clinton St Hoboken NJ 07030,,
Tastee Platters,4.8,33, Halal restaurant,217 Washington St Hoboken NJ 07030,,
Tenth Street Pasta & Pizza,4.4,262, Italian restaurant,1000 Willow Ave Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Sorellina,4.2,337, Italian restaurant,1036 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Dozzino,4.3,197, Pizza restaurant,534 Adams St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Margherita's,4.5,381, Italian restaurant,740 Washington St Hoboken NJ 07030,  Staff wear masks · Staff get temperature checks,
Pier 13 Hoboken,4.5,1204, Beer garden,1301 Sinatra Dr N Hoboken NJ 07030,,
M & P Biancamano,4.8,196, Restaurant,1116 Washington St Hoboken NJ 07030,,
Olivia's,4.4,78, Mediterranean restaurant,1038 Garden St Hoboken NJ 07030,,
La Casa,4.6,414, Latin American restaurant,54 Newark St. Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
bwè kafe,4.8,54, Coffee shop,1401 Adams St Hoboken NJ 07030,,
80 River Bar & Kitchen,3.9,26, Bar,80 River St Suite 302 Hoboken NJ 07030,,
Ubu,4.4,157, Japanese restaurant,205 Hudson St Hoboken NJ 07030,,
Dino & Harry's Steak House,4.4,398, Steak house,163 14th St Hoboken NJ 07030,Reservations required · Mask required · 2 more,
Stingray Lounge,4.5,231, Cocktail bar,1210 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Blue Eyes Restaurant,4.2,814, Italian restaurant,525 Sinatra Dr Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
Del Frisco's Grille,4.2,1095, Steak house,221 River St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Muteki Ramen,4.6,140, Ramen restaurant,533 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Saku Hoboken,4.2,305, Japanese restaurant,936 Park Ave Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Vito's Deli,4.7,369, Italian restaurant,806 Washington St A Hoboken NJ 07030,  Mask required,
Zero otto uno cafè,4.1,154, Italian restaurant,502 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
La Isla,4.5,954, Cuban restaurant,104 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Orale Mexican Kitchen,4.3,456, Mexican restaurant,1426 Willow Ave Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Black Rail Coffee,4.5,233, Coffee shop,800 Jackson St Hoboken NJ 07030,,
Arthur's Hoboken,4.2,795, Steak house,237 Washington St Hoboken NJ 07030,,
Souzafit Restaurant - HOBOKEN,4.6,84, Health food restaurant,517 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Sirenetta Seafood & Raw Bar,4.3,83, Restaurant,1039 Washington St Hoboken NJ 07030,,
Anthony David's,4.2,625, Italian restaurant,953 Bloomfield St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Cafe Michelina,4.4,194, Italian restaurant,423 Bloomfield St Hoboken NJ 07030,,
La Isla,4.3,748, Cuban restaurant,25 12th St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Benny Tudino's,4.4,1688, Pizza restaurant,622 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Shaka Bowl,4.4,133, Hawaiian restaurant,110 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
The Shannon,4.1,449, Bar,106 1st St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Grimaldi's Pizzeria,4.4,616, Pizza restaurant,411 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Shaka Bowl,4.3,233, Hawaiian restaurant,720 Monroe St e103 Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
D's Soul Full Cafe,4.6,93, Sandwich shop,918 Willow Ave Hoboken NJ 07030,  Mask required · Staff wear masks,
Seven Valleys,4.4,137, Persian restaurant,936 Washington St Hoboken NJ 07030,,
Turning Point,4.3,862, Brunch restaurant,1420 Sinatra Dr N Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Napoli's Pizza,4.5,301, Pizza restaurant,133 Clinton St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
The Brick,4.2,196, Pizza restaurant,1122 Washington St Hoboken NJ 07030,  Mask required,
Ali Baba Restaurant,4.5,321, Middle Eastern restaurant,912 Washington St Ste 1 Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Cafe Vista,4.7,77, Coffee shop,527 Monroe St Hoboken NJ 07030,,
The Ainsworth - Hoboken,3.8,725, American restaurant,310 Sinatra Dr Hoboken NJ 07030,  Staff wear masks,
Halifax,4.2,624, American restaurant,At W Hotel 225 River St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
The Brass Rail,4.3,655, American restaurant,135 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Bareburger,4.3,623, Hamburger restaurant,515 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
The Madison Bar & Grill,4.1,622, Bar & grill,1316 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Keming,4.2,167, Chinese restaurant,1006 Washington St Hoboken NJ 07030,,
House of 'Que,4.0,974, Barbecue restaurant,340 Sinatra Dr Hoboken NJ 07030,,
Uptown Pizzeria,4.5,113, Pizza restaurant,54 14th St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
8th Street Tavern,4.3,190, Bar & grill,800 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Malibu Diner,4.1,1241, Diner,257 14th St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Robongi Hoboken,4.2,282, Restaurant,520 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
BK Lobster Hoboken,4.1,103, Takeout Restaurant,732 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Urban CoalHouse Pizza + Bar,4.2,430, Pizza restaurant,116 14th St Hoboken NJ 07030,,
Wicked Wolf Tavern,4.1,1072, Bar,120 Sinatra Dr Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Johnny Pepperoni,4.4,266, Pizza restaurant,219 11th St #4323 Hoboken NJ 07030,,
Napoli's Pizza,4.3,561, Pizza restaurant,1118 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Piki Poke - Hawaiian Poke Bowl,4.6,116, Restaurant,535 Washington St Hoboken NJ 07030,  Mask required,
The Stewed Cow,4.3,320, American restaurant,400 Adams St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
The Little Grocery,4.5,111, Sandwich shop,1212 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
Pico Taco,4.3,82, Mexican restaurant,70 Hudson St Hoboken NJ 07030,,
Rosticeria Da Gigi,4.3,137, Breakfast restaurant,916 Washington St Hoboken NJ 07030,,
East LA,4.2,797, Mexican restaurant,508 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Charrito's Midtown,3.9,419, Mexican restaurant,518 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Sushi Lounge,4.2,487, Sushi restaurant,200 Hudson St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Cucina Saporito,4.2,158, Italian restaurant,328 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
GreekTown,4.3,220, Greek restaurant,86 Garden St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
La Bouche,3.9,245, French restaurant,207 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Lisa's Italian Deli & Caterer,4.3,193, Italian restaurant,901 Park Ave Hoboken NJ 07030,  Mask required,
Sangría Hoboken,4.0,14, Restaurant,800 Jackson St Hoboken NJ 07030,,
Karma Kafe,4.3,1146, Indian restaurant,505 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Tony Boloney's Hoboken,4.3,1234, Pizza restaurant,263 1st St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
H&S Giovanni's Restaurant & Pizzeria,4.4,196, Italian restaurant,603 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Mario's,4.5,203, Italian restaurant,742 Garden St A Hoboken NJ 07030,,
honeygrow,4.1,489, Restaurant,120 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Monroe's,4.0,85, Restaurant,36-42 Newark St. Hoboken NJ 07030,  Mask required,
Empanadas Cafe,4.4,354, Argentinian restaurant,123 Washington St Hoboken NJ 07030,,
QDOBA Mexican Eats,4.3,569, Mexican restaurant,400 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Tosti,4.3,171, Diner,1024 Washington St Hoboken NJ 07030,,
Baja,4.1,286, Mexican restaurant,104 14th St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Moran's Pub,4.6,256, Pub,501 Garden St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Rosario's at Willow,4.2,132, Pizza restaurant,1132 Willow Ave Hoboken NJ 07030,,
Torna Pizzeria,4.2,175, Pizza restaurant,254 9th St Hoboken NJ 07030,,
Green Rock Tap & Grill,4.2,401, Bar & grill,70 Hudson St Hoboken NJ 07030,,
Satay,4.2,167, Malaysian restaurant,99 Washington St Hoboken NJ 07030,,
No. 1,4.0,71, Chinese restaurant,642 Washington St Hoboken NJ 07030,  Mask required,
South Street Fish & Ramen Co.,4.1,199, Japanese restaurant,219 Washington St Hoboken NJ 07030,  Mask required,
Quality Greens Kitchen,4.2,302, American restaurant,227 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Alessio's Cafe | Gelato | Pizza,4.5,84, Cafe,539 Park Ave Hoboken NJ 07030,,
Midtown Philly Steaks,4.2,292, American restaurant,523 Washington St Hoboken NJ 07030,  Mask required,
Hoboken Burrito,3.9,83, Mexican restaurant,209 4th St Hoboken NJ 07030,  Mask required,
Panera Bread,4.1,551, Cafe,310 Washington St Hoboken NJ 07030,,
Acai Ya Later,4.1,129, Health food restaurant,203 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Touch the Heart,4.0,51, Restaurant,324 Washington St Hoboken NJ 07030,  Staff get temperature checks · Staff required to disinfect surfaces between visits,
Gogi Grill,4.3,198, Korean restaurant,79 Hudson St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
Mr. Wrap's,4.3,174, American restaurant,741 Garden St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Pho Nomenon,4.2,219, Vietnamese restaurant,516 Washington St Hoboken NJ 07030,,
Curry Up Now,4.3,291, Indian restaurant,91 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Okinawa Sushi Grill,4.2,232, Japanese restaurant,400 Newark St. Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Illuzion,4.2,305, Japanese restaurant,337 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Pizzeria Hoboken,3.8,211, Pizza restaurant,732 Jefferson St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Chicken Factory,4.3,154, Korean restaurant,529 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
Belo bar,4.2,74, Cocktail bar,104 Hudson St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Playa Bowls,4.3,193, Health food restaurant,100 Hudson St Hoboken NJ 07030,,
Hidden Grounds Coffee,4.1,241, Coffee shop,79 Hudson St Hoboken NJ 07030,,
Precious Chinese & Japanese Cuisine,4.0,231, Chinese restaurant,128 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Yeung II,4.0,121, Asian restaurant,1120 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Ben & Jerry’s,4.5,341, Ice cream shop,405 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 3 more,
Dining Room At Anthony David's,5.0,8, Italian restaurant,111 10th St Hoboken NJ 07030,,
Phoenix Bar & Grill,4.0,57, Bar & grill,1 Hudson Pl Hoboken NJ 07030,,
Little Market,4.1,29, Middle Eastern restaurant,400 Newark St. #5 Hoboken NJ 07030,  Mask required,
Shake Shack,4.1,225, Hamburger restaurant,111 Washington St Hoboken NJ 07030,Mask required · Staff wear masks · 1 more,
KOLO KLUB,4.5,70, Cocktail bar,1422 Grand St Hoboken NJ 07030,,
Chipotle Mexican Grill,3.8,576, Mexican restaurant,229 Washington St Hoboken NJ 07030,  Mask required,
Ayame Hibachi & Sushi,4.1,263, Japanese restaurant,526 Washington St Hoboken NJ 07030,,
South Lions Dim Sum & Tea,4.4,48, Dim sum restaurant,512 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Sri Thai,4.1,179, Thai restaurant,234 Bloomfield St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Bluestone Lane Hoboken Café,4.2,266, Coffee shop,409 Washington St Hoboken NJ 07030,,
JP's Bagel Express,4.4,300, Bagel shop,52 Newark St. Hoboken NJ 07030,  Mask required · Safety dividers at checkout,
Dunkin',4.1,242, Coffee shop,700 Washington St Hoboken NJ 07030,,
Choc O Pain French Bakery and Café,4.5,331, Bakery,157 1st St Hoboken NJ 07030,Mask required · Staff wear masks · 2 more,
W Hoboken,4.5,1560, ,225 River St Hoboken NJ 07030,,
Bangkok City Thai,3.8,136, Thai restaurant,335 Washington St Hoboken NJ 07030,,
7 Stars Pizzeria,4.0,158, Pizza restaurant,342 Garden St Hoboken NJ 07030,,
Lo-Fatt-Chow,3.7,110, Chinese restaurant,720 Monroe St C-103 Hoboken NJ 07030,,
Asia Sushi & Chinese,3.9,89, Asian restaurant,926 Washington St #5106 Hoboken NJ 07030,,
Hovokett, , , Restaurant,300 Washington St Hoboken NJ 07030,,
Pastrami House Delicatessen,3.8,90, Deli,832 Washington St Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
gfg café • cuisine,4.6,590, Cafe,221 River St Hoboken NJ 07030,,
Wings To Go - Grande Pizza,3.9,85, Chicken wings restaurant,400 Newark St. Hoboken NJ 07030,  Mask required · Staff wear masks,
Rice Shop,3.8,247, Chinese restaurant,304 Washington St #4842 Hoboken NJ 07030,  Staff required to disinfect surfaces between visits,
Losurdo's Italian Deli & Bread Bakery,4.9,218, Deli,410 2nd St Hoboken NJ 07030,  Mask required,
Proven Poke Co Hoboken,3.7,15, Sushi restaurant,1401 Hudson St Hoboken NJ 07030,,
Eco Hoboken,3.6,11, Restaurant,249 11th St Hoboken NJ 07030,,
Green Pear Cafe,4.4,120, Cafe,93 Grand St Hoboken NJ 07030,,
Kung Fu Tea,4.4,272, Bubble tea store,536 Washington St Hoboken NJ 07030,,
Parking, , , Restaurant,99 1st St Hoboken NJ 07030,,
Delite Liquor Store,4.7,75, Liquor store,420 Washington St Hoboken NJ 07030,,
Prato Bakery,4.8,83, Bakery,201 Washington St Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Fiore's House of Quality,4.8,664, Deli,414 Adams St #2693 Hoboken NJ 07030,  Mask required,
Rolling Diner - Takeout Delivery Hoboken,3.1,14, Restaurant,1500 Jefferson St Hoboken NJ 07030,,
Hoboken Waterfront,4.7,29, City government office,94 Washington St Hoboken NJ 07030,,
Old German Bakery,4.7,326, Bakery,332 Washington St Hoboken NJ 07030,,
Amanda Bananas,4.8,20, Ice cream shop,FOOD TRUCK Hoboken NJ 07030,,
Hudson River Waterfront Walkway,4.8,1225, Scenic spot,Sinatra Dr Hoboken NJ 07030,,
Dunkin',3.8,150, Coffee shop,1200 Grand St Unit 4 Hoboken NJ 07030,,
bwè kafe,4.6,404, Coffee shop,1002 Washington St Hoboken NJ 07030,,
Dom's Bakery Grand,4.7,69, Bakery,506 Grand St Hoboken NJ 07030,  Mask required,
Subway,3.3,111, Sandwich shop,5 Marine View Plaza Hoboken NJ 07030,,
Jefferson’s Coffee,4.5,132, Coffee shop,534 Washington St Hoboken NJ 07030,,
Trader Joe's,4.6,2193, Grocery store,1350 Willow Ave Hoboken NJ 07030,,
Insomnia Cookies,4.3,411, Cookie shop,56 Newark St. Hoboken NJ 07030,Mask required · Staff required to disinfect surfaces between visits · 1 more,
Wine Dad's,4.8,64, Wine store,1330 Willow Ave Hoboken NJ 07030,  Mask required · Staff required to disinfect surfaces between visits,
Taqueria Hoboken,2.8,4, Liquor store,98 Willow Ave Hoboken NJ 07030,,
ShopRite of Hoboken,4.3,2676, Grocery store,900 Madison St Hoboken NJ 07030,Mask required · Staff required to disinfect surfaces between visits · 1 more,
Bagels On the Hudson,4.0,408, Bagel shop,802 Washington St A Hoboken NJ 07030,  Mask required,
ACME Markets,3.9,583, Grocery store,614 Clinton St Hoboken NJ 07030,Mask required · Staff required to disinfect surfaces between visits · 1 more,
Sweet,4.3,91, Bakery,343 Garden St Hoboken NJ 07030,,
Carlo's Bakery,4.5,8340, Bakery,95 Washington St Hoboken NJ 07030,Mask required · Staff required to disinfect surfaces between visits · 1 more,
QDOBA Mexican Eats, 4.3, 569, Mexican restaurant, 400 Washington St Hoboken NJ 07030,  Mask required · Staff wear masks · 2 more
